# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volIntegrate(Ycharm)	volIntegrate(Yashm)	volIntegrate(Yhumm)	volIntegrate(Yrubberwoodm)
0.605             	3.1762486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.61              	3.2024986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.615             	3.2287486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.62              	3.2549986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.625             	3.2812486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.63              	3.3074986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.635             	3.3337486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.64              	3.3599986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.645             	3.3862486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.65              	3.4124986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.655             	3.4387486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.66              	3.4649986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.665             	3.4912486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.67              	3.5174986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.675             	3.5437486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.68              	3.5699986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.685             	3.5962486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.69              	3.6224986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.695             	3.6487486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.7               	3.6749986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.705             	3.7012486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.71              	3.7274986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.715             	3.7537486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.72              	3.7799986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.725             	3.8062486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.73              	3.8324986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.735             	3.8587486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.74              	3.8849986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.745             	3.9112486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.75              	3.9374986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.755             	3.9637486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.76              	3.9899986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.765             	4.0162486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.77              	4.0424986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.775             	4.0687486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.78              	4.0949986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.785             	4.1212486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.79              	4.1474986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.795             	4.1737486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.8               	4.1999986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.805             	4.2262486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.81              	4.2524986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.815             	4.2787486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.82              	4.3049986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.825             	4.3312486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.83              	4.3574986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.835             	4.3837486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.84              	4.4099986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.845             	4.4362486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.85              	4.4624986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.855             	4.4887486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.86              	4.5149986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.865             	4.5412486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.87              	4.5674986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.875             	4.5937486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.88              	4.6199986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.885             	4.6462486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.89              	4.6724986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.895             	4.6987486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.9               	4.7249986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.905             	4.7512486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.91              	4.7774986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.915             	4.8037486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.92              	4.8299986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.925             	4.8562486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.93              	4.8824986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.935             	4.9087486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.94              	4.9349986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.945             	4.9612486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.95              	4.9874986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.955             	5.0137486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.96              	5.0399986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.965             	5.0662486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.97              	5.0924986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.975             	5.1187486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.98              	5.1449986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.985             	5.1712486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.99              	5.1974986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.995             	5.2237486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1                 	5.2499986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.005             	5.2762486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.01              	5.3024986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.015             	5.3287486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.02              	5.3549986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.025             	5.3812486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.03              	5.4074986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.035             	5.4337486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.04              	5.4599986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.045             	5.4862486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.05              	5.5124986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.055             	5.5387486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.06              	5.5649986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.065             	5.5912486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.07              	5.6174986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.075             	5.6437486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.08              	5.6699986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.085             	5.6962486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.09              	5.7224986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.095             	5.7487486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.1               	5.7749986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.105             	5.8012486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.11              	5.8274986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.115             	5.8537486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.12              	5.8799986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.125             	5.9062486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
